id,name,description,code
1,إدارة المستخدمين - عرض,عرض قائمة المستخدمين,view_users
2,إدارة المستخدمين - إضافة,إضافة مستخدم جديد,add_user
3,إدارة المستخدمين - تعديل,تعديل بيانات المستخدم,edit_user
4,إدارة المستخدمين - حذف,حذف المستخدم,delete_user
5,إدارة المستخدمين - صلاحيات,تعيين صلاحيات للمستخدم,manage_user_permissions
6,إدارة النوادي - عرض,عرض قائمة النوادي,view_clubs
7,إدارة النوادي - إضافة,إضافة نادي جديد,add_club
8,إدارة النوادي - تعديل,تعديل بيانات النادي,edit_club
9,إدارة النوادي - حذف,حذف النادي,delete_club
10,إدارة النوادي - مرافق,تعيين مرافق للنادي,manage_club_facilities
11,إدارة المرافق - عرض,عرض قائمة المرافق,view_facilities
12,إدارة المرافق - إضافة,إضافة مرفق جديد,add_facility
13,إدارة المرافق - تعديل,تعديل بيانات المرفق,edit_facility
14,إدارة المرافق - حذف,حذف المرفق,delete_facility
15,إدارة المرافق - بنود,إضافة بنود للمرفق,manage_facility_items
16,إدارة الموظفين - عرض,عرض قائمة الموظفين,view_employees
17,إدارة الموظفين - إضافة,إضافة موظف جديد,add_employee
18,إدارة الموظفين - تعديل,تعديل بيانات الموظف,edit_employee
19,إدارة الموظفين - حذف,حذف الموظف,delete_employee
20,إدارة الموظفين - جدول,تعيين جدول للموظف,manage_employee_schedule
21,إدارة الجداول - عرض,عرض جداول الموظفين,view_schedules
22,إدارة الجداول - إضافة,إضافة جدول جديد,add_schedule
23,إدارة الجداول - تعديل,تعديل الجدول,edit_schedule
24,إدارة الجداول - حذف,حذف الجدول,delete_schedule
25,إدارة التشيك - عرض,عرض قائمة التشيكات,view_checks
26,إدارة التشيك - إضافة,إضافة تشيك جديد,add_check
27,إدارة التشيك - تعديل,تعديل التشيك,edit_check
28,إدارة التشيك - حذف,حذف التشيك,delete_check
29,إدارة التشيك - تفاصيل,عرض تفاصيل التشيك,view_check_details
30,إدارة الكاميرات - عرض,عرض قائمة متابعة الكاميرات,view_camera_checks
31,إدارة الكاميرات - إضافة,إضافة متابعة جديدة,add_camera_check
32,إدارة الكاميرات - تعديل,تعديل المتابعة,edit_camera_check
33,إدارة الكاميرات - حذف,حذف المتابعة,delete_camera_check
34,إدارة الكاميرات - تفاصيل,عرض تفاصيل المتابعة,view_camera_check_details
35,إدارة الأعطال - عرض,عرض قائمة الأعطال الحرجة,view_critical_issues
36,إدارة الأعطال - إضافة,إضافة عطل جديد,add_critical_issue
37,إدارة الأعطال - تعديل,تعديل العطل,edit_critical_issue
38,إدارة الأعطال - حذف,حذف العطل,delete_critical_issue
39,إدارة الأعطال - إغلاق,إغلاق العطل,close_critical_issue
40,إدارة الأعطال - تفاصيل,عرض تفاصيل العطل,view_critical_issue_details
41,إدارة المبيعات - عرض,عرض قائمة المبيعات,view_sales
42,إدارة المبيعات - إضافة تارجيت,إضافة تارجيت جديد,add_sales_target
43,إدارة المبيعات - تعديل تارجيت,تعديل التارجيت,edit_sales_target
44,إدارة المبيعات - حذف تارجيت,حذف التارجيت,delete_sales_target
45,إدارة المبيعات - إضافة مبيعات,إضافة مبيعات يومية,add_daily_sales
46,إدارة المبيعات - تفاصيل,عرض تفاصيل التارجيت,view_sales_details
47,الإجراءات النظامية - عرض,عرض قائمة الإجراءات,view_procedures
48,الإجراءات النظامية - إضافة,إضافة إجراء جديد,add_procedure
49,الإجراءات النظامية - تعديل,تعديل الإجراء,edit_procedure
50,الإجراءات النظامية - حذف,حذف الإجراء,delete_procedure
51,الإجراءات النظامية - تفاصيل,عرض تفاصيل الإجراء,view_procedure_details
52,التقارير - عرض تقرير التشيك,عرض تقرير التشيك,view_check_report
53,التقارير - عرض تقرير المرافق,عرض تقرير المرافق,view_facility_report
54,التقارير - عرض تقرير المبيعات,عرض تقرير المبيعات,view_sales_report
55,التقارير - طباعة,طباعة التقارير,print_reports
56,التقارير - تصدير,تصدير التقارير,export_reports
57,استيراد النوادي من الإكسل,,import_clubs_excel
58,استيراد المرافق من الإكسل,,import_facilities_excel
59,استيراد الموظفين من الإكسل,,import_employees_excel
60,استيراد بنود المرافق من الإكسل,,import_facility_items_excel
61,تعطيل الموظف,,disable_employee
62,تعديل بند المرفق,,edit_facility_item
63,حذف بند المرفق,,delete_facility_item
64,تفعيل/تعطيل بند المرفق,,toggle_facility_item
65,إضافة بند مرفق جديد,,add_facility_item
66,إضافة مخالفة,صلاحية إضافة مخالفة جديدة,add_violation
67,تعديل مخالفة,صلاحية تعديل المخالفات,edit_violation
68,استيراد أنواع المخالفات,صلاحية استيراد أنواع المخالفات من ملف إكسل,import_violation_types
