role,permission_id
admin,1
admin,2
admin,3
admin,4
admin,5
admin,6
admin,7
admin,8
admin,9
admin,10
admin,11
admin,12
admin,13
admin,14
admin,15
admin,16
admin,17
admin,18
admin,19
admin,20
admin,21
admin,22
admin,23
admin,24
admin,25
admin,26
admin,27
admin,28
admin,29
admin,30
admin,31
admin,32
admin,33
admin,34
admin,35
admin,36
admin,37
admin,38
admin,39
admin,40
admin,41
admin,42
admin,43
admin,44
admin,45
admin,46
admin,47
admin,48
admin,49
admin,50
admin,51
admin,52
admin,53
admin,54
admin,55
admin,56
manager,1
manager,6
manager,11
manager,16
manager,21
manager,25
manager,30
manager,35
manager,41
manager,29
manager,34
manager,40
manager,46
manager,52
manager,53
manager,54
manager,17
manager,18
manager,19
manager,20
manager,22
manager,23
manager,24
manager,26
manager,27
manager,28
manager,31
manager,32
manager,33
manager,36
manager,37
manager,38
manager,39
manager,42
manager,43
manager,44
manager,45
manager,55
manager,56
supervisor,6
supervisor,11
supervisor,16
supervisor,21
supervisor,25
supervisor,30
supervisor,35
supervisor,41
supervisor,29
supervisor,34
supervisor,40
supervisor,46
supervisor,26
supervisor,27
supervisor,31
supervisor,32
supervisor,36
supervisor,37
supervisor,39
supervisor,55
user,6
user,11
user,16
user,21
user,25
user,30
user,35
user,41
user,29
user,34
user,40
user,26
user,31
manager,57
manager,58
manager,59
manager,60
manager,61
manager,62
manager,63
manager,64
manager,65
